"ID";"FarmTypes";"Regions";"Periods";"UtilisedAgriculturalAreaUAA_3";"UtilisedAgriculturalAreaUAA_6";"ArableLandTotal_8";"Cereals_14";"ArableLandTotal_21";"Cereals_27";"HorticultureInTheOpenTotal_34";"HorticultureInTheOpenTotal_40";"HorticultureUnderGlassTotal_46";"HorticultureUnderGlassTotal_51";"GrasslandAndForagePlantsTotal_72";"GrasslandAndForagePlantsTotal_78";"CattleTotal_84";"Sheep_95";"GrazingLivestockTotal_102";"HousedAnimalsTotal_135"
"141";"T001061";"PV20  ";"2021JJ00";"16061460";"    2441";" 8411319";" 3531263";"    1363";"    1161";"  111869";"     174";"  591357";"      44";" 7532358";"    2063";"  193412";"   70634";"    1461";"     171"
"142";"T001061";"PV20  ";"2022JJ00";"15992473";"    2427";" 8498260";" 3671701";"    1384";"    1217";"  110872";"     183";"  676424";"      36";" 7376577";"    2038";"  196138";"   69446";"    1288";"     164"
"143";"T001061";"PV20  ";"2023JJ00";"15895078";"    2392";" 8520536";" 3568136";"    1506";"    1210";"  109997";"     205";"  700257";"      36";" 7257542";"    2081";"  198135";"   66958";"    1368";"     173"
"144";"T001061";"PV21  ";"2000JJ00";"23103586";"    7052";" 2347082";"  683161";"     981";"     653";"  127304";"     222";"  696002";"      84";"20622240";"    6605";"  520251";"  253941";"    6206";"     324"
"145";"T001061";"PV21  ";"2001JJ00";"23087685";"    6829";" 2319188";"  705519";"     921";"     631";"  114921";"     195";"  783499";"      86";"20645741";"    6412";"  546048";"  250829";"    6063";"     284"
"146";"T001061";"PV21  ";"2002JJ00";"23291897";"    6629";" 2437334";"  857676";"    1016";"     753";"  111689";"     191";"  854583";"      75";"20734328";"    6199";"  530003";"  219900";"    5838";"     273"
"147";"T001061";"PV21  ";"2003JJ00";"23263971";"    6421";" 2429705";"  804393";"    1006";"     709";"  126314";"     185";" 1157678";"      81";"20696375";"    6017";"  522197";"  223032";"    5660";"     237"
"148";"T001061";"PV21  ";"2004JJ00";"23286937";"    6355";" 2463099";"  786109";"    1022";"     635";"  111222";"     172";" 1035799";"      73";"20702258";"    5952";"  516309";"  229956";"    5645";"     233"
"149";"T001061";"PV21  ";"2005JJ00";"23486382";"    6219";" 2507496";"  830955";"    1019";"     634";"  110409";"     161";" 1133427";"      72";"20857143";"    5824";"  513500";"  258160";"    5509";"     230"
"150";"T001061";"PV21  ";"2006JJ00";"23285198";"    6050";" 2281190";"  823381";"     881";"     596";"  117905";"     156";" 1219625";"      72";"20873907";"    5685";"  502058";"  253454";"    5347";"     218"
"151";"T001061";"PV21  ";"2007JJ00";"23418441";"    5898";" 2364897";"  959733";"     863";"     636";"  120165";"     145";" 1349756";"      66";"20919881";"    5552";"  507996";"  257565";"    5246";"     225"
"152";"T001061";"PV21  ";"2008JJ00";"23737716";"    5868";" 2495898";" 1165369";"     969";"     785";"  113237";"     139";" 1171626";"      66";"21116865";"    5542";"  530703";"  231822";"    5232";"     207"
"153";"T001061";"PV21  ";"2009JJ00";"23727808";"    5722";" 2321220";" 1020139";"     781";"     611";"  102799";"     136";" 1220788";"      60";"21291581";"    5431";"  541422";"  207066";"    5127";"     219"
"154";"T001061";"PV21  ";"2010JJ00";"22907035";"    5690";" 2245143";"  944060";"     740";"     547";"  100308";"     125";" 1388043";"      54";"20547704";"    5401";"  536700";"  208719";"    5095";"     196"
"155";"T001061";"PV21  ";"2011JJ00";"22726795";"    5586";" 2215566";"  950552";"     714";"     528";"  109160";"     128";" 1385834";"      51";"20388211";"    5318";"  522013";"  196460";"    5018";"     192"
"156";"T001061";"PV21  ";"2012JJ00";"22570904";"    5514";" 2149777";"  895673";"     749";"     516";"  111446";"     121";" 1447336";"      44";"20295208";"    5259";"  527999";"  189677";"    4973";"     189"
"157";"T001061";"PV21  ";"2013JJ00";"22637702";"    5433";" 2274145";"  920253";"     781";"     528";"  112032";"     118";" 1425767";"      38";"20237267";"    5177";"  539191";"  192320";"    4893";"     183"
"158";"T001061";"PV21  ";"2014JJ00";"22610970";"    5296";" 2183228";"  837772";"     684";"     452";"  114179";"     117";" 1348107";"      37";"20300082";"    5063";"  553222";"  167052";"    4757";"     172"
"159";"T001061";"PV21  ";"2015JJ00";"22653182";"    5155";" 2076286";"  820583";"     615";"     421";"  126466";"     127";" 1321695";"      37";"20437213";"    4951";"  570982";"  160194";"    4605";"     179"
"160";"T001061";"PV21  ";"2016JJ00";"22362830";"    4357";" 2014064";"  714571";"     600";"     401";"  129771";"     125";" 1315085";"      33";"20205844";"    4169";"  583349";"  135722";"    3887";"     163"
"161";"T001061";"PV21  ";"2017JJ00";"22382278";"    4303";" 2068967";"  657927";"     576";"     380";"  148549";"     139";" 1478053";"      31";"20149981";"    4118";"  558857";"  143205";"    3842";"     160"
"162";"T001061";"PV21  ";"2018JJ00";"22478034";"    4221";" 2149781";"  696744";"     619";"     402";"  157716";"     136";" 1363263";"      31";"20156904";"    4044";"  528308";"  153534";"    3762";"     161"
"163";"T001061";"PV21  ";"2019JJ00";"22477001";"    4177";" 2153215";"  697269";"     604";"     403";"  150543";"     140";" 1190407";"      32";"20161339";"    4006";"  517587";"  162473";"    3721";"     178"
"164";"T001061";"PV21  ";"2020JJ00";"22443874";"    4136";" 2116465";"  658033";"     592";"     381";"  154809";"     137";" 1289877";"      38";"20159701";"    3974";"  530657";"  148491";"    3687";"     173"
"165";"T001061";"PV21  ";"2021JJ00";"22446213";"    4079";" 2101990";"  642047";"     573";"     368";"  165566";"     131";" 1229400";"      37";"20166363";"    3925";"  533198";"  139206";"    3640";"     170"
"166";"T001061";"PV21  ";"2022JJ00";"22478762";"    4008";" 2192518";"  737882";"     626";"     441";"  171745";"     129";" 1028954";"      26";"20104209";"    3853";"  538146";"  136869";"    3377";"     174"
"167";"T001061";"PV21  ";"2023JJ00";"22480487";"    3976";" 2320730";"  698416";"     979";"     409";"  160296";"     153";"  763267";"      24";"19991828";"    3830";"  544211";"  133219";"    3494";"     178"
"168";"T001061";"PV22  ";"2000JJ00";"15926401";"    4883";" 7132047";" 2156934";"    2278";"    1720";"  123493";"     292";" 2669045";"     190";" 8644171";"    3886";"  225191";"   50630";"    3344";"     483"
"169";"T001061";"PV22  ";"2001JJ00";"15729581";"    4649";" 7005100";" 2292963";"    2187";"    1665";"  133160";"     275";" 2642564";"     179";" 8564895";"    3701";"  227043";"   49297";"    3245";"     450"
"170";"T001061";"PV22  ";"2002JJ00";"15719435";"    4483";" 6918053";" 2183989";"    2097";"    1568";"  161838";"     285";" 2605595";"     173";" 8613488";"    3592";"  215209";"   43619";"    3083";"     435"
"171";"T001061";"PV22  ";"2003JJ00";"15625501";"    4276";" 6825749";" 2179793";"    1988";"    1514";"  164368";"     248";" 2456413";"     162";" 8610820";"    3441";"  211003";"   43909";"    2948";"     393"
"172";"T001061";"PV22  ";"2004JJ00";"15529446";"    4190";" 6782045";" 2123201";"    1951";"    1400";"  158687";"     247";" 2727984";"     154";" 8561434";"    3376";"  208713";"   46348";"    2902";"     368"
"173";"T001061";"PV22  ";"2005JJ00";"15409795";"    4109";" 6665189";" 2049709";"    1842";"    1324";"  145773";"     226";" 2387134";"     147";" 8574962";"    3304";"  209787";"   54939";"    2880";"     375"
"174";"T001061";"PV22  ";"2006JJ00";"15087349";"    4067";" 6372909";" 2089839";"    1801";"    1331";"  174500";"     249";" 2272362";"     131";" 8517216";"    3324";"  207176";"   64625";"    2808";"     361"
"175";"T001061";"PV22  ";"2007JJ00";"15214263";"    3892";" 6516403";" 2135352";"    1675";"    1263";"  170280";"     248";" 2218141";"     118";" 8505399";"    3211";"  208372";"   58701";"    2732";"     346"
"176";"T001061";"PV22  ";"2008JJ00";"15422256";"    3907";" 6256481";" 2203285";"    1508";"    1230";"  188040";"     241";" 2311402";"     107";" 8954621";"    3282";"  215139";"   58587";"    2770";"     313"
"177";"T001061";"PV22  ";"2009JJ00";"15245563";"    3772";" 6148466";" 2064932";"    1455";"    1152";"  180126";"     223";" 1985214";"      89";" 8897119";"    3212";"  221519";"   54584";"    2699";"     290"
"178";"T001061";"PV22  ";"2010JJ00";"15032469";"    3716";" 6016777";" 1887243";"    1390";"    1054";"  190467";"     202";" 1937507";"      79";" 8805850";"    3222";"  221444";"   55281";"    2668";"     289"
"179";"T001061";"PV22  ";"2011JJ00";"14823149";"    3618";" 5917994";" 1628550";"    1323";"     977";"  203983";"     198";" 1872650";"      75";" 8682445";"    3125";"  216951";"   54906";"    2591";"     269"
"180";"T001061";"PV22  ";"2012JJ00";"14799985";"    3580";" 5655310";" 1604002";"    1278";"     969";"  222780";"     196";" 1642429";"      64";" 8905471";"    3144";"  226373";"   54001";"    2582";"     255"
"181";"T001061";"PV22  ";"2013JJ00";"15013054";"    3518";" 5844594";" 1639653";"    1287";"     968";"  209424";"     186";" 1542338";"      61";" 8943613";"    3091";"  235248";"   53794";"    2527";"     249"
"182";"T001061";"PV22  ";"2014JJ00";"14865183";"    3408";" 5633240";" 1466018";"    1199";"     869";"  237370";"     183";" 1360061";"      56";" 8980972";"    3030";"  241814";"   53083";"    2445";"     241"
"183";"T001061";"PV22  ";"2015JJ00";"14960970";"    3336";" 5548064";" 1594235";"    1197";"     902";"  271964";"     220";" 1472339";"      52";" 9126219";"    2968";"  247134";"   53326";"    2327";"     237"
"184";"T001061";"PV22  ";"2016JJ00";"14766006";"    2831";" 5627107";" 1477365";"    1160";"     863";"  281265";"     221";" 1503055";"      50";" 8842603";"    2504";"  256256";"   41092";"    1870";"     223"
"185";"T001061";"PV22  ";"2017JJ00";"14835307";"    2790";" 5815945";" 1339216";"    1176";"     839";"  304399";"     231";" 1498420";"      52";" 8699979";"    2456";"  241356";"   43011";"    1852";"     205"
"186";"T001061";"PV22  ";"2018JJ00";"14846554";"    2742";" 5958663";" 1383572";"    1169";"     848";"  326417";"     221";" 1487550";"      46";" 8546598";"    2426";"  227899";"   45650";"    1801";"     215"
"187";"T001061";"PV22  ";"2019JJ00";"14791954";"    2711";" 5974149";" 1393647";"    1165";"     853";"  312235";"     223";" 1697205";"      55";" 8488598";"    2381";"  223667";"   52015";"    1758";"     213"
"188";"T001061";"PV22  ";"2020JJ00";"14833887";"    2690";" 5930475";" 1263994";"    1163";"     811";"  310094";"     224";" 1794877";"      58";" 8575369";"    2375";"  226236";"   50766";"    1747";"     219"
"189";"T001061";"PV22  ";"2021JJ00";"14906295";"    2675";" 5929649";" 1183834";"    1174";"     777";"  321573";"     220";" 1766274";"      62";" 8637410";"    2362";"  225066";"   47830";"    1738";"     214"
"190";"T001061";"PV22  ";"2022JJ00";"14735386";"    2611";" 6064133";" 1371092";"    1203";"     875";"  312649";"     219";" 1979752";"      65";" 8338806";"    2288";"  223329";"   48428";"    1478";"     220"
"191";"T001061";"PV22  ";"2023JJ00";"14708169";"    2590";" 6133513";" 1328739";"    1453";"     819";"  311691";"     253";" 1869745";"      56";" 8244268";"    2311";"  223499";"   46063";"    1678";"     216"
"192";"T001061";"PV23  ";"2000JJ00";"21835991";"   11270";" 2329336";"  988776";"    2437";"    1539";"  138433";"     411";" 1023382";"     192";"19357988";"   10822";"  616051";"   86454";"    9551";"    3204"
"193";"T001061";"PV23  ";"2001JJ00";"21292707";"   10826";" 2398193";" 1143315";"    2454";"    1680";"  131994";"     368";" 1047274";"     179";"18752047";"   10362";"  616930";"   84879";"    9166";"    2842"
"194";"T001061";"PV23  ";"2002JJ00";"21703792";"   10486";" 2312595";" 1047729";"    2243";"    1583";"  162539";"     374";" 1151749";"     174";"19217141";"   10050";"  592240";"   77509";"    8804";"    2646"
"195";"T001061";"PV23  ";"2003JJ00";"21613440";"   10090";" 2248951";" 1025148";"    2054";"    1450";"  158041";"     361";" 1253337";"     168";"19193915";"    9686";"  578993";"   79705";"    8533";"    2400"
"196";"T001061";"PV23  ";"2004JJ00";"21800724";"    9951";" 2276310";"  953219";"    1932";"    1279";"  154755";"     346";" 1265098";"     155";"19357008";"    9543";"  585707";"   84982";"    8426";"    2271"
"197";"T001061";"PV23  ";"2005JJ00";"21302043";"    9685";" 2165052";"  897566";"    1724";"    1134";"  166128";"     327";" 1256903";"     150";"18958294";"    9305";"  583874";"   95886";"    8256";"    2208"
"198";"T001061";"PV23  ";"2006JJ00";"21123245";"    9438";" 1984420";"  829135";"    1591";"    1056";"  191950";"     344";" 1323516";"     141";"18933640";"    9061";"  578932";"   98503";"    8029";"    2057"
"199";"T001061";"PV23  ";"2007JJ00";"20965514";"    9113";" 1854158";"  850012";"    1552";"    1091";"  192365";"     314";" 1435960";"     134";"18904631";"    8772";"  586875";"  102078";"    7767";"    1991"
"200";"T001061";"PV23  ";"2008JJ00";"20991041";"    8964";" 1699365";"  841922";"    1387";"    1057";"  208885";"     320";" 1262918";"     127";"19070162";"    8668";"  610069";"   89177";"    7621";"    1846"
"201";"T001061";"PV23  ";"2009JJ00";"20753013";"    8720";" 1692740";"  785295";"    1309";"     936";"  209614";"     327";" 1368436";"     121";"18836975";"    8426";"  634405";"   81118";"    7407";"    1632"
"202";"T001061";"PV23  ";"2010JJ00";"20274285";"    8722";" 1597723";"  717433";"    1233";"     875";"  201432";"     324";" 1379868";"     114";"18461331";"    8449";"  632974";"   81707";"    7369";"    1534"
"203";"T001061";"PV23  ";"2011JJ00";"20154214";"    8444";" 1588585";"  642175";"    1114";"     763";"  212344";"     310";" 1400181";"     107";"18339283";"    8207";"  614645";"   77330";"    7112";"    1420"
"204";"T001061";"PV23  ";"2012JJ00";"19901909";"    8269";" 1471576";"  593093";"    1031";"     703";"  210090";"     305";" 1409857";"     104";"18206144";"    8051";"  607489";"   73713";"    6953";"    1268"
"205";"T001061";"PV23  ";"2013JJ00";"19871830";"    8112";" 1532155";"  617441";"    1095";"     735";"  205258";"     292";" 1349562";"      98";"18120921";"    7897";"  630917";"   74391";"    6768";"    1207"
"206";"T001061";"PV23  ";"2014JJ00";"19720636";"    7900";" 1424320";"  493649";"    1005";"     607";"  205672";"     299";" 1361524";"      90";"18077029";"    7703";"  637355";"   69830";"    6578";"    1143"
"207";"T001061";"PV23  ";"2015JJ00";"19856518";"    7770";" 1392861";"  473642";"    1022";"     616";"  212884";"     308";" 1205490";"      79";"18238718";"    7607";"  651670";"   68800";"    6325";"    1085"
"208";"T001061";"PV23  ";"2016JJ00";"19637721";"    6864";" 1405366";"  418288";"    1015";"     550";"  212346";"     315";" 1171343";"      64";"18008296";"    6738";"  665824";"   57492";"    5589";"     980"
"209";"T001061";"PV23  ";"2017JJ00";"19585219";"    6744";" 1447343";"  414952";"    1077";"     562";"  230585";"     328";" 1336842";"      65";"17893923";"    6602";"  650384";"   58494";"    5519";"     946"
"210";"T001061";"PV23  ";"2018JJ00";"19619139";"    6657";" 1543728";"  455770";"    1131";"     620";"  219856";"     313";" 1313109";"      56";"17842424";"    6520";"  623403";"   65112";"    5371";"     919"
"211";"T001061";"PV23  ";"2019JJ00";"19609978";"    6557";" 1716312";"  549481";"    1236";"     707";"  210981";"     320";" 1529304";"      64";"17667392";"    6397";"  599737";"   72720";"    5251";"     892"
"212";"T001061";"PV23  ";"2020JJ00";"19588587";"    6476";" 1721673";"  552033";"    1299";"     750";"  189304";"     322";" 1501553";"      65";"17662594";"    6305";"  613851";"   70278";"    5176";"     796"
"213";"T001061";"PV23  ";"2021JJ00";"19610018";"    6408";" 1719939";"  528094";"    1322";"     684";"  196749";"     328";" 1676788";"      67";"17676562";"    6243";"  606654";"   67363";"    5093";"     765"
"214";"T001061";"PV23  ";"2022JJ00";"19527802";"    6278";" 1855803";"  656373";"    1422";"     842";"  215710";"     345";" 1650310";"      62";"17439786";"    6096";"  615726";"   68807";"    4590";"     761"
"215";"T001061";"PV23  ";"2023JJ00";"19578591";"    6252";" 1985603";"  679549";"    2170";"     912";"  213611";"     482";" 1718356";"      63";"17362193";"    6077";"  615477";"   70572";"    4849";"     737"
"216";"T001061";"PV24  ";"2000JJ00";" 9163618";"    2317";" 6931167";" 1364809";"    1924";"    1358";"  566812";"     629";" 1667273";"     128";" 1648966";"     683";"   56965";"   13500";"     646";"     159"
"217";"T001061";"PV24  ";"2001JJ00";" 9074882";"    2262";" 6964087";" 1473408";"    1874";"    1371";"  566390";"     565";" 1744418";"     125";" 1526961";"     685";"   58697";"   14314";"     617";"     158"
"218";"T001061";"PV24  ";"2002JJ00";" 9183227";"    2250";" 6945823";" 1487980";"    1845";"    1385";"  597149";"     620";" 1833399";"     125";" 1621921";"     692";"   58812";"   11885";"     587";"     155"
"219";"T001061";"PV24  ";"2003JJ00";" 8989023";"    2175";" 6836586";" 1387894";"    1761";"    1304";"  560049";"     573";" 1792798";"     119";" 1574460";"     661";"   55129";"   12148";"     575";"     138"
"220";"T001061";"PV24  ";"2004JJ00";" 9156463";"    2150";" 6964479";" 1496713";"    1733";"    1292";"  567860";"     548";" 1882845";"     114";" 1605296";"     673";"   56921";"   13615";"     553";"     135"
"221";"T001061";"PV24  ";"2005JJ00";" 9101967";"    2107";" 6912459";" 1550793";"    1708";"    1296";"  539850";"     502";" 1928329";"     106";" 1630375";"     661";"   59821";"   15478";"     545";"     130"
"222";"T001061";"PV24  ";"2006JJ00";" 9063789";"    2083";" 6722761";" 1520246";"    1667";"    1260";"  596703";"     519";" 1972833";"      99";" 1724597";"     683";"   58786";"   18253";"     556";"     126"
"223";"T001061";"PV24  ";"2007JJ00";" 9082035";"    2020";" 6766880";" 1575009";"    1609";"    1219";"  610140";"     489";" 1945354";"     102";" 1685561";"     699";"   60819";"   18374";"     542";"     129"
"224";"T001061";"PV24  ";"2008JJ00";" 9060325";"    1956";" 6651647";" 1748688";"    1535";"    1221";"  614472";"     470";" 1920546";"      91";" 1775001";"     701";"   62302";"   13583";"     545";"     120"
"225";"T001061";"PV24  ";"2009JJ00";" 8971156";"    1902";" 6584907";" 1745098";"    1490";"    1177";"  611406";"     446";" 1810284";"      88";" 1756740";"     686";"   62147";"   13266";"     538";"     127"
"226";"T001061";"PV24  ";"2010JJ00";" 8930548";"    1868";" 6493923";" 1713607";"    1453";"    1139";"  625741";"     438";" 1833533";"      82";" 1792549";"     688";"   64763";"   13608";"     524";"     124"
"227";"T001061";"PV24  ";"2011JJ00";" 8908555";"    1832";" 6482625";" 1772267";"    1431";"    1133";"  660480";"     451";" 1808815";"      79";" 1747362";"     674";"   62226";"   11637";"     502";"     121"
"228";"T001061";"PV24  ";"2012JJ00";" 8780476";"    1785";" 6332009";" 1698288";"    1402";"    1073";"  631307";"     431";" 1686204";"      74";" 1800298";"     682";"   62872";"   11346";"     493";"     112"
"229";"T001061";"PV24  ";"2013JJ00";" 8867068";"    1779";" 6401628";" 1696063";"    1402";"    1076";"  623647";"     443";" 1668029";"      70";" 1825113";"     681";"   66241";"   11448";"     496";"     108"
"230";"T001061";"PV24  ";"2014JJ00";" 8867732";"    1741";" 6279712";" 1615789";"    1360";"    1036";"  643788";"     453";" 1602437";"      59";" 1928208";"     731";"   69368";"   10994";"     483";"     107"
"231";"T001061";"PV24  ";"2015JJ00";" 9047636";"    1740";" 6211550";" 1621135";"    1350";"    1015";"  693205";"     484";" 1986772";"      62";" 2123013";"     875";"   73755";"   12666";"     478";"     111"
"232";"T001061";"PV24  ";"2016JJ00";" 8955899";"    1675";" 6119580";" 1510555";"    1335";"     985";"  721855";"     501";" 2758662";"      60";" 2086877";"     802";"   76646";"   11765";"     447";"     102"
"233";"T001061";"PV24  ";"2017JJ00";" 9032585";"    1674";" 6199549";" 1414546";"    1326";"     935";"  734874";"     532";" 3003424";"      68";" 2068128";"     815";"   72378";"   11215";"     449";"     102"
"234";"T001061";"PV24  ";"2018JJ00";" 8973896";"    1653";" 6167822";" 1415843";"    1309";"     946";"  770123";"     577";" 3193280";"      63";" 2004018";"     808";"   67192";"   13009";"     436";"     101"
"235";"T001061";"PV24  ";"2019JJ00";" 8941941";"    1642";" 6168349";" 1429562";"    1302";"     947";"  768635";"     583";" 4014999";"      73";" 1964807";"     809";"   65037";"   14054";"     422";"      99"
"236";"T001061";"PV24  ";"2020JJ00";" 8941428";"    1626";" 6161659";" 1438089";"    1292";"     925";"  758001";"     585";" 3798237";"      72";" 1983786";"     836";"   63803";"   14065";"     419";"      98"
"237";"T001061";"PV24  ";"2021JJ00";" 8867457";"    1618";" 6068735";" 1412431";"    1270";"     913";"  798237";"     597";" 3847582";"      73";" 1962009";"     816";"   65887";"   13600";"     423";"      96"
"238";"T001061";"PV24  ";"2022JJ00";" 8815827";"    1605";" 6016947";" 1493479";"    1279";"     957";"  815010";"     627";" 4199677";"      65";" 1941873";"     807";"   67533";"   14666";"     359";"      97"
"239";"T001061";"PV24  ";"2023JJ00";" 8872241";"    1581";" 6090395";" 1528081";"    1314";"     950";"  795046";"     636";" 4115427";"      62";" 1945646";"     924";"   63880";"   11101";"     413";"      93"
"240";"T001061";"PV25  ";"2000JJ00";"25319562";"   16520";" 3300323";" 1797365";"    4561";"    2789";"  901972";"    2268";" 6902723";"    1104";"21048240";"   14416";"  947112";"  160820";"   12220";"    4907"
"241";"T001061";"PV25  ";"2001JJ00";"24531337";"   15608";" 3369569";" 1948493";"    4531";"    2929";"  843732";"    2073";" 6933592";"    1052";"20248700";"   13569";"  903760";"  161145";"   11578";"    4300"
"242";"T001061";"PV25  ";"2002JJ00";"24839371";"   14952";" 3337334";" 1895405";"    3882";"    2770";"  858881";"    2038";" 6889613";"    1013";"20574260";"   12996";"  850555";"  146945";"   10988";"    3939"
"243";"T001061";"PV25  ";"2003JJ00";"24692303";"   14225";" 3195533";" 1821440";"    3574";"    2550";"  842586";"    1902";" 7170262";"     983";"20582481";"   12379";"  830534";"  143161";"   10539";"    3313"
"244";"T001061";"PV25  ";"2004JJ00";"24682012";"   14054";" 3128655";" 1745550";"    3434";"    2412";"  825472";"    1853";" 7327343";"     941";"20654612";"   12236";"  839236";"  151341";"   10394";"    3331"
"245";"T001061";"PV25  ";"2005JJ00";"24468294";"   13631";" 2987807";" 1640853";"    3109";"    2201";"  830377";"    1795";" 7313875";"     902";"20576971";"   11784";"  867318";"  167536";"   10204";"    3246"
"246";"T001061";"PV25  ";"2006JJ00";"24241447";"   13189";" 2846019";" 1635652";"    2957";"    2114";"  826514";"    1733";" 7306965";"     859";"20495844";"   11396";"  860604";"  177159";"    9920";"    3059"
"247";"T001061";"PV25  ";"2007JJ00";"24293713";"   12745";" 2776195";" 1591923";"    2743";"    1941";"  862839";"    1667";" 7531706";"     799";"20579362";"   11056";"  860391";"  172398";"    9582";"    2928"
"248";"T001061";"PV25  ";"2008JJ00";"24269927";"   12485";" 2687270";" 1701998";"    2598";"    2001";"  887646";"    1635";" 7011012";"     716";"20624901";"   10985";"  887020";"  154289";"    9381";"    2758"
"249";"T001061";"PV25  ";"2009JJ00";"24252237";"   12129";" 2628412";" 1632623";"    2462";"    1875";"  895627";"    1593";" 6985383";"     669";"20658344";"   10722";"  904935";"  143916";"    9143";"    2538"
